,title,sub_title,link
0,SCAMA THE HAMMER,West Ham confirm Scamacca deal with brilliant Football Italia-style video,https://www.thesun.co.uk/sport/19328917/west-ham-transfer-gianluca-scamacca-confirmed/
1,READY FO WES,Chelsea plot Fofana bid with Leicester ace seen as £70m alternative to Kounde,https://www.thesun.co.uk/sport/19330261/chelsea-leicester-wesley-fofana-transfer-alternative-jules-kounde/
2,UP THE ANT-E,Man Utd in huge Antony transfer blow as Ajax RAISE price tag to whopping £84m,https://www.thesun.co.uk/sport/19330609/man-utd-ajax-antony-transfer-price-tag-raised/
3,HOMECOMING,Suarez confirms emotional Nacional return with move ‘impossible to turn down’,https://www.thesun.co.uk/sport/19330007/luis-suarez-nacional-transfer-return-confirmed/
4,GLORIOUS,Best sign up deals and free bets for the horse racing at the Goodwood Festival,https://www.thesun.co.uk/sport/horseracing/19319431/goodwood-festival-betting-offers-free-bets/
5,STEVIE GLEE,Gerrard’s Aston Villa fines include punishment for wearing flip flops in shower,https://www.thesun.co.uk/sport/19328232/steven-gerrard-aston-villa-fines/
6,'DEFINITELY NOT TRUE',Atletico Madrid chief dubs Ronaldo transfer as 'impossible',https://www.thesun.co.uk/sport/19327794/cristiano-ronaldo-transfer-atletico-madrid-not-happening/
7,LOAN RANGER,Ronaldo told to RENEW deal by his agent and will then be loaned out in return,https://www.thesun.co.uk/sport/football/19330268/man-utd-cristiano-ronaldo-new-contract-loan/
8,I FELT BLUE,"I genuinely thought I was a s*** footballer during nightmare spell, says Deeney",https://www.thesun.co.uk/sport/football/19328726/birmingham-nightmare-troy-deeney-footballer/
9,OVER TO HUGH,Man Utd hire academy guru David Hughes as they search for next Class of 92,https://www.thesun.co.uk/sport/19324787/man-utd-backroom-overhaul-academy-guru-david-hughes/
10,DENNIS AND RASHER,England ace Marcus Rashford to appear in and guest edit The Beano,https://www.thesun.co.uk/sport/19325814/marcus-rashford-comic-beano-man-utd/
11,FERGIE TIME,Sir Alex Ferguson almost managed Team GB at London 2012 but Man Utd BLOCKED him,https://www.thesun.co.uk/sport/football/19328083/alex-ferguson-team-gb-olympics-man-utd/
12,I'M GUNNER STAY,Arsenal target Victor Osimhen says he will STAY at Napoli despite rumours,https://www.thesun.co.uk/sport/football/19325647/victor-osimhen-arsenal-napoli/
